__quarterly__,y,ny,py,cpi,rp,rrp,ea_cpi,re,bk,le,tae,sec,d,le_to_l,a_to_l,l,a,ln_to_l,ln,lp,tag,rwa_to_tag,rwa,riskw,car,reg,reg_to_bk,l_to_4ny,le_to_4ny,l_to_4ny_1,le_to_4ny_1,sec_to_4ny,book_sec,oae,oae_to_4ny,rl,rd,new_rl,new_rd,rbk,car_ccy,car_cons,car_min,rl_1,new_rl_1,a_1,lp_1,ln_1,y_tnd,y_gap,cpi_tnd,ea_cpi_tnd,py_tnd,re_tnd,re_gap,rrp_tnd,rrp_gap,l_to_4ny_tnd,l_to_4ny_gap,l_to_4ny_tnd_1,roc_y,roc_py,roc_cpi,roc_rrp,roc_re,roc_y_tnd,roc_cpi_tnd,roc_py_tnd,roc_re_tnd,rsec,roae,ivy_1,lnc_1,lnw_1,__eof__
1996Q2,27.1496307201472,13.7520721482205,0.506528883945938,NaN,0.0128416666666667,NaN,0.716768886285861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.8994688586116,1.00929988108131,NaN,0.716038038845548,0.508775808684597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.02111804475106,0.998560877425218,NaN,NaN,NaN,1.01938416458999,NaN,1.0121895265193,NaN,0.0135916666666667,0.0153416666666667,NaN,NaN,NaN,__eof__
1996Q3,26.936003626422,13.9336593691978,0.517287551726123,NaN,0.0125,NaN,0.71828590573466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.4210134760547,0.982312475428518,NaN,0.718397558838842,0.515030865060784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.992131491734557,1.02123998871767,NaN,NaN,NaN,1.01938865857108,NaN,1.01229432742166,NaN,0.01325,0.015,NaN,NaN,NaN,__eof__
1996Q4,27.1682244882573,14.1541974636181,0.520983528744613,NaN,0.0114666666666667,NaN,0.721470100473206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.9535837645601,0.971904880500564,NaN,0.720764070938926,0.521443941950805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00862120695616,1.00714491776606,NaN,NaN,NaN,1.01942197683432,NaN,1.01245183022043,NaN,0.0122166666666667,0.0139666666666667,NaN,NaN,NaN,__eof__
1997Q1,28.1965025248473,14.6762288009986,0.520498199663793,0.681069952481733,0.0111,NaN,0.726052245672587,1.06604650965285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.497217676245,0.989447560993002,0.671602620817484,0.72313771311576,0.528051113520784,1.07641351356237,0.990368939279472,NaN,NaN,NaN,NaN,NaN,1.0378485549188,0.999068436804537,NaN,NaN,NaN,1.01944773579887,NaN,1.01267091443283,NaN,0.01185,0.0136,NaN,NaN,NaN,__eof__
1997Q2,29.3533173211821,15.4009806199099,0.524675983003671,0.680177419345579,0.0108166666666667,0.0121430667262934,0.726376683223343,1.06792237225725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.0502869011997,1.01043123673832,0.676343069818403,0.725520045636203,0.534889285908371,1.07244155946135,0.995786076020431,0.00753669755995095,0.00460636916634244,NaN,NaN,NaN,1.04102688960503,1.00802650872294,0.998689513268201,NaN,1.00175964424385,1.01940783241501,1.00705841349331,1.01294983044727,0.996310010928906,0.0115666666666667,0.0133166666666667,NaN,NaN,NaN,__eof__
1997Q3,29.7357351406336,16.0117275700342,0.538467520453339,0.68252556808997,0.0108083333333333,0.00733076644103536,0.729662322866797,1.06906225492583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.6103952591028,1.00423296887576,0.681136047950068,0.727918504906019,0.541981613964915,1.06846358100335,1.00056031289519,0.00668044592706017,0.000650320513975193,NaN,NaN,NaN,1.01302809543695,1.02628581809808,1.00345225918651,0.603699757752467,1.00106738345239,1.0192806480641,1.00708660788519,1.01325943189253,0.996290727058361,0.0115583333333333,0.0133083333333333,NaN,NaN,NaN,__eof__
1997Q4,30.1244450133371,16.6940630090573,0.554169977294728,0.688586573937366,0.0110833333333333,0.00218367971316913,0.732583189838845,1.06389409489921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.1755797035783,0.99830542807318,0.686009158373038,0.730342349185935,0.549331245317581,1.06445016090588,0.999477602590434,0.00583340703250207,-0.00364972731933294,NaN,NaN,NaN,1.01307214605138,1.02916138159674,1.00888026197225,0.297878773076928,0.995165707139314,1.0190873657555,1.0071543863192,1.0135606654604,0.996243746470332,0.0118333333333333,0.0135833333333333,NaN,NaN,NaN,__eof__
1998Q1,30.7355900347854,17.1693733269528,0.558615380655492,0.693463688807571,0.0105083333333333,0.0034014504517792,0.734188163288846,1.05872618154139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.7439859414763,0.999726908973126,0.690993606416835,0.732804467010995,0.556934173059044,1.06037351808113,0.998446456355565,0.00500609425563729,-0.00160464380385809,NaN,NaN,NaN,1.02028734541591,1.00802173257827,1.0070827911185,1.55766911752949,0.995142455078375,1.01883663026466,1.00726586224536,1.01384033368986,0.996170189103751,0.0112583333333333,0.0130083333333333,NaN,NaN,NaN,__eof__
1998Q2,31.407920548764,17.8127385388598,0.56714160720076,0.698018484572142,0.0101416666666667,0.00355016646052198,0.73600517617327,1.05442075308996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.3135191774421,1.00301471612906,0.696126725674216,0.735322427495053,0.564795970459627,1.05620521086775,0.998310500876691,0.00420172152118781,-0.000651555060665832,NaN,NaN,NaN,1.0218746577898,1.01526314319391,1.00656818206647,1.04372135089164,0.9959333881352,1.01852502915692,1.00742860600983,1.01411620579395,0.996069019885634,0.0108916666666667,0.0126416666666667,NaN,NaN,NaN,__eof__
1998Q3,32.4020747097336,18.7685391884085,0.579238809753451,0.70287902074233,0.00984166666666668,0.00285842801229319,0.737934729283489,1.04987445564122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.8819241235749,1.01631490571719,0.701451979319625,0.737916830296132,0.572925865995096,1.05191400790192,0.998061103621227,0.00342029346626787,-0.000561865453974679,NaN,NaN,NaN,1.03165297617924,1.02133012707778,1.00696333446408,0.805153235511363,0.995688346008542,1.01815206214645,1.00764983364236,1.01439439365839,0.99593715035518,0.0105916666666667,0.0123416666666667,NaN,NaN,NaN,__eof__
1998Q4,31.399414706717,18.5043489457789,0.589321460881257,0.704042490350568,0.00905833333333332,0.00739080797816905,0.738677167150507,1.04919401495596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.446996916384,0.96771404723936,0.707018038962946,0.740609952218809,0.581338313954888,1.04746570039903,1.00164999632568,0.0026605116178704,0.00473029636029865,NaN,NaN,NaN,0.969055685106627,1.01740672578914,1.00165529141417,2.58561976946193,0.999351883759431,1.01772392377006,1.00793505444053,1.01468330975977,0.995771225148178,0.00980833333333333,0.0115583333333333,NaN,NaN,NaN,__eof__
1999Q1,32.8934523957461,18.9581401921254,0.576349966675348,0.703475127198173,0.00772682971014492,0.00853957638554537,0.74032445019611,1.05238184204849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.0074736477936,0.99654559287802,0.712878102184271,0.743424453613831,0.590061416783615,1.04282270072307,1.00916660264376,0.00191995377208036,0.006619622613465,NaN,NaN,NaN,1.04758170504081,0.977989102608766,0.999194135069728,1.15543204623494,1.00303835806065,1.01727360879819,1.00828842108459,1.01500520887637,0.995567396933199,0.00847682971014493,0.0102268297101449,NaN,NaN,NaN,__eof__
1999Q2,33.0991841505717,19.3551123100465,0.584761008670124,0.707420150758705,0.00658507395382395,0.000971716986018167,0.742842207137245,1.05007216198259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.5598342104921,0.986273768307939,0.719081208717862,0.746379474899785,0.599141175396603,1.0379516455045,1.01167734212918,0.00120565831770333,-0.000233941331685166,NaN,NaN,NaN,1.00625448956681,1.01459363664632,1.00560790766867,0.113789834781847,0.997805283240727,1.01673440895818,1.00870149681213,1.01538781956373,0.995328970864177,0.00733507395382395,0.00908507395382395,NaN,NaN,NaN,__eof__
1999Q3,34.386479713698,20.7816133176842,0.6043541964956,0.712674059337875,0.00674848484848485,-0.00067337151391178,0.746310579921682,1.04719762160988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.1001285328936,1.00839736367938,0.725659044185349,0.749488248370025,0.608597686553213,1.03283883213456,1.0139022556362,0.000537902888771808,-0.00121127440268359,NaN,NaN,NaN,1.03889206323849,1.03350631717056,1.00742685739661,-0.692970817224338,0.997262530636671,1.0160994335971,1.00914755578054,1.01578344394433,0.99507413144718,0.00749848484848485,0.00924848484848485,NaN,NaN,NaN,__eof__
1999Q4,35.2508837399842,21.6221341801439,0.613378499660661,0.720587005858786,0.00857449494949495,-0.00250091437096411,0.749777332330319,1.04050909360591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.6232516304905,1.01812747445537,0.732620747310912,0.752757137597564,0.618422110745039,1.02749491398865,1.0126659309356,-6.35027633450851e-05,-0.00243741160761903,NaN,NaN,NaN,1.02513790401004,1.014932142802,1.01110317741642,3.71401866472742,0.993612926666418,1.01534079547801,1.00959362827673,1.01614272352474,0.994825990290407,0.00932449494949495,0.011074494949495,NaN,NaN,NaN,__eof__
2000Q1,35.8012189758481,22.2335189535148,0.621026869741887,0.733802877657305,0.00885579020013802,-0.00931381527898523,0.754678869619705,1.02844904619214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.1244487771264,1.01926778133989,0.739949328520873,0.75618625951953,0.628596017370954,1.02195877783283,1.00635081228333,-0.000581171436083584,-0.00873264384290164,NaN,NaN,NaN,1.01561195571502,1.01246925036573,1.01834042480792,3.72416400462152,0.988409474277665,1.0144757387892,1.01000324006228,1.016451395332,0.9946120062684,0.00960579020013803,0.011355790200138,NaN,NaN,NaN,__eof__
2000Q2,36.7880110762173,23.0845117794975,0.627500946753307,0.743997457206575,0.0106575420875421,-0.00319093092816658,0.756400142946394,1.01667033350677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.6000672763918,1.03336914479972,0.747602535221443,0.759769772719751,0.63908902079458,1.01629425480541,1.0003700490282,-0.00100259075009516,-0.00218834017807141,NaN,NaN,NaN,1.02756308663777,1.01042479371965,1.01389280399365,0.34260191259819,0.988547111080526,1.01354095269319,1.01034287944536,1.01669276154105,0.994457190299371,0.0114075420875421,0.0131575420875421,NaN,NaN,NaN,__eof__
2000Q3,37.4632560017191,24.0274454686996,0.641360309621701,0.75720454585157,0.0118440010351967,-0.00580448442331216,0.762723166395732,1.00728815030813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.0477480768705,1.03926758259157,0.755523844816155,0.763498736913413,0.649852645589034,1.01057668995312,0.99674587819243,-0.00133271361371711,-0.00447177080959505,NaN,NaN,NaN,1.01835502669886,1.02208660072961,1.01775152390249,1.8190567436216,0.99077165636743,1.01257527961964,1.01059561628207,1.01684213692338,0.994374104915724,0.0125940010351967,0.0143440010351967,NaN,NaN,NaN,__eof__
2000Q4,37.5435139462155,24.8775237982881,0.662631735375847,0.768183187532563,0.0125603209728868,-0.00191088475612611,0.768095182882003,0.999885437937216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.4675320623952,1.0295052015579,0.763646945275335,0.767357262508154,0.660810633742126,1.00488054203226,0.995029156316485,-0.00158086961564283,-0.000330015140483276,NaN,NaN,NaN,1.00214231097512,1.03316610871461,1.01449891147794,0.329208352847248,0.99265084934371,1.01164522079519,1.0107516136187,1.01686226597286,0.994363467931242,0.0133103209728868,0.0150603209728868,NaN,NaN,NaN,__eof__
2001Q1,37.633203503605,25.8239207286795,0.686200438030893,0.772660767039111,0.0118626363636364,0.00599887881660144,0.770369673181296,0.997034799804066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.8624223133868,1.02090967282794,0.771906030482828,0.771327604208671,0.671863611538308,0.999272097251331,0.997761072831495,-0.00176533188618495,0.00776421070278639,NaN,NaN,NaN,1.00238894946056,1.03556832761968,1.00582879133417,-3.1393200439585,0.997149035254448,1.01082854332769,1.01081531885722,1.01672639214897,0.994418794526969,0.0126126363636364,0.0143626363636364,NaN,NaN,NaN,__eof__
2001Q2,37.6142163186529,25.7932731290928,0.685732035743675,0.784692722518163,0.0114768777056277,-0.00403243493536332,0.777961312733994,0.991421597791085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.2378189396267,1.01010793300318,0.780241602648078,0.775393159271083,0.682909165273453,0.993806262446078,0.997600473306414,-0.00190503358593704,-0.00212740134942627,NaN,NaN,NaN,0.999495467215533,0.999317397277445,1.01557210614583,-0.67219809878537,0.994370104218946,1.0101837210547,1.01079868771078,1.01644017259672,0.994530183700428,0.0122268777056277,0.0139768777056277,NaN,NaN,NaN,__eof__
2001Q3,37.0243408495339,26.0007283264272,0.702260397615006,0.792433690931236,0.010669590085639,0.000796762286366048,0.780725823052497,0.985225428937807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.6009702199909,0.98466450820063,0.788593074395782,0.779535046116415,0.69386756269066,0.988532326597778,0.996654739990798,-0.00200337945408712,0.00280014174045316,NaN,NaN,NaN,0.984317751987126,1.02410323713899,1.009864967765,-0.197588380007987,0.993750218003034,1.00975221671691,1.01070369962248,1.01604663983799,0.994693195195491,0.011419590085639,0.013169590085639,NaN,NaN,NaN,__eof__
2001Q4,37.3702393282083,26.0090778158006,0.69598371012219,0.799664661062208,0.00860870022690675,-0.000511647014012184,0.784040577598227,0.980461705731466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.9602122800789,0.984458122954696,0.796906323007204,0.78373916326698,0.704660184860109,0.983493850529423,0.996916966185071,-0.00206802903252202,0.00155638201850984,NaN,NaN,NaN,1.00934246149257,0.991062165096974,1.00912501602812,-0.642157670822692,0.995164839369323,1.00955406357831,1.01054187372593,1.01555429702982,0.994903074049489,0.00935870022690675,0.0111087002269068,NaN,NaN,NaN,__eof__
2002Q1,37.7934983562912,27.7074814321118,0.733128253195951,0.80950560076529,0.0084055606060606,-0.00385335188175306,0.79004294664197,0.975957357052353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.3230329448584,0.986182341326453,0.805132834134673,0.787993507210596,0.715221416368569,0.978727033495004,0.997170123693467,-0.00210104157964772,-0.00175231030210535,NaN,NaN,NaN,1.01132609894107,1.05336984549141,1.0123063331197,7.53127014567371,0.995405890252744,1.00955791980568,1.01032305917266,1.01498769440274,0.995153180640782,0.0091555606060606,0.0109055606060606,NaN,NaN,NaN,__eof__
